$>n	a matter
fTrnY	created me
fTrt	Nature
fTwEt	Then prompted
fTwr	flaw
fZA	rude
fZlmwA	but they wronged
fZlt	so would bend
fZltm	then you would remain
fZlwA	and they were to continue
fZn	and thought
fZnwA	and they (will be) certain
f_A*whmA	then punish both of them
f_Amn	And believed
f_AmnA	so we believe
f_Amnt	Then believed
f_AmnwA	so believe
f_At	So give
f_AtYhm	So gave them
f_Athm	so give them
f_Att	so it yielded
f_AtwA	then give
f_Atwhm	then give them
f_Atwhn	then give them
f_AtynA	So We gave
f_AwY	and give shelter
f_AwYkm	then He sheltered you
f_AxrAn	then (let) two others
f_Azrh	then strengthens it
fb$r	So give glad tidings
fb$rh	So give him tidings
fb$rhm	so give them tidings
fb$rnh	So We gave him the glad tidings
fb$rnhA	Then We gave her glad tidings
fb<*n	(was) by permission
fbA'w	So they have drawn (on themselves)
fbAyEhn	then accept their pledge
fbEdA	So away
fbEv	then raised up
fbEztk	Then by Your might
fbSrk	so your sight
fbSrt	So she watched
fbZlm	Then for wrongdoing
fbd>	So he began
fbdl	But changed
fbdt	so became apparent
fbgY	but he oppressed
fbhdYhm	so of their guidance
fbht	So became dumbfounded
fblgn	and they reach
fbr>h	then Allah cleared him
fb}s	And wretched
fdA'	ransom
fdEA	So he called
fdEwhm	And they will call them
fdktA	and crushed
fdlYhmA	So he made both of them fall
fdmdm	So destroyed
fdmrnhA	and We destroy it
fdmrnhm	Then We destroyed them
fdxlwA	and they entered
fdyp	a ransom
ffdyp	then a ransom
ffhmnhA	And We gave understanding of it
ffrrt	So I fled
ffrwA	So flee
ffryqA	So a party
ffsq	and he rebelled
ffsqwA	but they defiantly disobey
fftHnA	So We opened
fftqnhmA	then We parted them
ffzE	and he was afraid
fg$YhA	So covered them
fg$yhm	but covered them
fgfr	Then He forgave
fgfrnA	So We forgave
fglbwA	So they were defeated
fglwh	and shackle him
fgwY	and erred
fhb	So give
fhdY	And guided
fhdynhm	We guided them
fhzmwhm	So they defeated them
fj	mountain highway
fjA'	and came
fjA'hA	and came to it
fjA'th	Then came to him
fjA'whm	and they came to them
fjAjA	wide
fjAswA	and they entered
fjEl	Then made
fjElh	and made him
fjElhm	So he made them
fjElnA	And We made
fjElnh	Then We placed it
fjElnhA	So We made it
fjElnhm	so We made them
fjElnhn	And We have made them
fjEltm	and you have made
fjmE	and put together
fjmEnhm	then We (will) gather them
fjrt	are made to gush forth
fjwp	the open space
fjwrhA	(to distinguish) its wickedness
fjzA&h	then his recompense
fjzA'	then penalty
fk	(It is) freeing
fk$fnA	and We removed
fk*b	but he denied
fk*bnA	but we denied
fk*bt	but you denied
fk*bwA	But they denied
fk*bwh	So they denied him
fk*bwhmA	So they denied them
fkAn	it was
fkAnt	it was
fkAnwA	they will be
fkAtbwhm	then give them writing
fkbkbwA	Then they will be overturned
fkbr	magnify
fkbt	will be cast down
fkf	but He restrained
fkfY	so sufficient
fkfrt	but it denied
fkfrth	So its expiation
fkfrwA	So they disbelieved
fkhp	fruits
fkhwn	(in) amusement
fkhyn	jesting
fklA	So each
fklY	So eat
fklwA	So eat
fklwh	then eat it
fkntm	but you used
fkr	thought
fkrhtmwh	Nay, you would hate it
fkswnA	then We clothed
fkvrkm	and He increased you
fkydwn	then plan against Me
fkydwnY	So plot against me
fkyf	So how
fl>mh	then for his mother
fl>nfshm	then for themselves
fl>nfskm	then it is for yourself
fl>qTEn	So surely I will cut off
flAnA	that one
flEnp	So curse
flErfthm	and you would know them
flbv	so he remained
flbvt	Then you remained
flb}s	Surely, wretched
flk	an orbit
flkl	then for each
fll*kr	then the male will have
fllh	With Allah
fllwldyn	(is) for parents
flmswh	and they touched it
fln*yqn	But surely We will cause to taste
fln>tynhm	surely, we will come to them
fln>tynk	Then we will surely produce for you
flnEm	and Best
flnHyynh	We will give him life
flnfsh	then it is for his soul
flnnb}n	But We will surely inform
flnqSn	We will narrate
flns_ln	We will question
flnwlynk	So We will surely turn you
flqtlwkm	surely they fought you
fltqm	then let stand
fly&d	then let discharge
fly&mn	let him believe
fly*wqwh	Then let them taste it
fly>kl	then let him eat (of it)
fly>t	Then let bring
fly>tkm	and let him bring to you
fly>tnA	So let him bring us
fly>twA	Then let them bring
flyDHkwA	So let them laugh
flyEbdwA	So let them worship
flyElmn	will surely make evident
flyEml	let work
flyH*r	So let beware
flySlwA	and let them pray
flySmh	then he should fast in it
flybtkn	so they will surely cut off
flydE	Then let him call
flyfrHwA	let them rejoice
flygyrn	so they will surely change
flykfr	let him disbelieve
flyktb	So let him write
flykwnwA	then let them be
flylqh	then let cast it
flymdd	then let him extend
flymll	then let dictate
flynZr	So let see
flynfq	let him spend
flyqtl	So let fight
flyrtqwA	Then let them ascend
flys	So not
flystEff	then he should refrain
flyst_*nwA	then let them ask permission
flystjybwA	So let them respond
flytnAfs	let aspire
flytqwA	So let them fear
flytwkl	so let put the trust
fm>wYhm	then their refuge
fmAl_wn	and fill
fmHwnA	Then We erased
fmhl	So give respite
fmkv	So he stayed
fmlqyh	and you (will) meet Him
fmn	then conferred favor
fmrt	and continues
fmstqr	so (there is) a place of dwelling
fmtE	(is) an enjoyment
fmtEnhm	so We gave them enjoyment
fmtEwhn	So provide for them
fmvlh	So his example
fn*r	But We leave
fnAZrp	and see
fnAdY	Then he called
fnAdYhA	So cried to her
fnAdth	Then called him
fnAdwA	But they called
fnEm	and Best
fnEmA	then good
fnEml	so (that) we do (deeds)
fnSf	then (give) half
fnZl	so we will remain
fnZr	Then he glanced
fnZrp	then postponement
fnb*nh	But We cast him
fnb*nhm	and threw them
fnb*thA	then threw it
fnb*wh	Then they threw it
fnfEhA	and benefited it
fnfxnA	so We breathed
fnjEl	and [we] invoke
fnjY	and was saved
fnjynh	so We saved him
fnjynk	but We saved you
fnkwn	then we could be
fnnb}hm	then We will inform them
fnnb}km	and We will inform you
fnqbwA	so they explored
fnrdhA	and turn them
fnsY	but he forgot
fnswA	but they forgot
fnsyhm	so He has forgotten them
fnsythA	but you forgot them
fntbE	so we (could) have followed
fntbr>	then we will disown
fnxrj	then We bring forth
fnzl	Then, hospitality
fq*fnhA	so we threw them
fqAl	So say
fqAlt	so she said
fqAlwA	and said
fqDY	and killed him
fqDYhn	Then He completed them
fqEwA	then fall down
fqTE	So was cut off
fqbDt	so I took
fqdmwA	then offer
fqdr	and restricts
fqdrh	and determined it
fqdrnA	So We measured
fql	So say
fqlnA	So We said
fqlt	Then I said
fqlylA	so little
fqnA	so save us
fqr>h	And he (had) recited it
fqrA'	poor
fqrbh	And he placed it near
fqst	so hardened
fqtl	So fight
fqtlA	and you both fight
fqtlh	so he killed him
fqtlwA	then fight
fqwlA	and say
fqwlY	then say
fqwlwA	and say
fqyr	(is) poor
fqyrA	poor
fr$	couches
fr$A	a resting place
fr$nhA	We have spread it
fr'Ah	and see him
fr>wh	and they see it
frAg	Then he went
frAq	(is) parting
frArA	to flee
frAt	sweet
frAtA	sweet
frD	ordained
frDnA	We have made obligatory
frDtm	you have specified
frEwn	Firaun
frH	Rejoice
frHwA	they rejoice
frHwn	rejoicing
frHyn	Rejoicing
frTA	(in) excess
frTnA	we neglected
frTt	I neglected
frTtm	you failed
frbkm	but your Lord
frdA	alone
frdY	alone
frddnh	So We restored him
frdwA	but they returned
frdwh	refer it
frgA	empty
frgt	you have finished
frhn	then pledge
frhyn	skillfully
frjAlA	then (pray) on foot
frjE	Then Musa returned
frjEnk	So We returned you
frjEwA	So they returned
frjhA	her chastity
frjl	then one man
frjt	is cleft asunder
frq	part
frqA	(by the) Criterion
frqAnA	a criterion
frqnA	We parted
frqnh	We have divided
frqp	group
frqt	You caused division
frqwA	divide
frrtm	you flee
frt	Fleeing
frv	bowels
frwH	Then rest
frwj	rifts
frwjhm	their chastity
frwjhn	their chastity
fryA	an amazing thing
fryDp	An obligation
fryq	a party
fryqA	a party
fryqAn	(became) two parties
fs>ktbhA	So I will ordain it
fsA'	then evil
fsAd	(for) spreading corruption
fsAdA	corruption
fsAhm	Then he drew lots
fsAlt	and flows
fsHqA	so away with
fs_l	so ask
fs_lh	and ask him
fs_lwA	so ask
fs_lwhm	So ask them
fs_lwhn	then ask them
fsbH	So glorify
fsbHh	glorify Him
fsbHn	So glory be
fsjd	So prostrated
fsjdwA	So they prostrated
fslkh	and He makes it flow
fslm	Then, peace
fslmwA	then greet
fsnysrh	Then We will ease him
fsq	(is) grave disobedience
fsqA	(it be) disobedience
fsqY	So he watered
fsqnh	and We drive them
fsqwA	defiantly disobeyed
fsqwn	defiantly disobedient
fsqyn	defiantly disobedient
fst*krwn	And you will remember
fstElmwn	So you will know
fstbSr	So you will see
fstrDE	then may suckle
fswY	and proportioned
fswYhA	and leveled them
fswYhn	and fashioned them
fswYk	then fashioned you
fswq	wickedness
fsxrnA	Then We subjected
fsy&tyh	soon He will give him
fsy>tyhm	then will come to them
fsyElmwn	then they will know
fsyH$rhm	then He will gather them
fsyHwA	So move about
fsydxlhm	then He will admit them
fsykfykhm	So will suffice you against them
fsynfqwnhA	So they will spend it
fsyngDwn	Then they will shake
fsyqwlwn	they say
fsyrY	then Allah will see
fsyrwA	So travel
ft$bh	so that seemed alike
ft$qY	so (that) you would suffer
ft*kr	then will remind
ft*rwhA	and leave her (the other)
ft>kl	and will eat
ft>twn	and you will come forth
ft>tyhm	so that you bring to them
ftAb	and turned
ftEATY	and he took
ftEAlyn	then come
ftElY	But exalted
ftErfwnhA	and you will recognize them
ftEsA	destruction (is)
ftH	has
ftHA	a victory
ftHnA	We opened
ftHryr	then freeing
ftHsswA	and inquire
ftHt	has been opened
ftHwA	they opened
ftSbH	then becomes
ftSbHwA	then you become
ftSybkm	and would befall you
ftTAwl	and prolonged
ftTrdhm	So were you to send them away
ftY	a youth
ftYhA	her slave boy
ftbArk	So blessed is
ftbhthm	and bewilder them
ftbsm	So he smiled
ftbynwA	investigate
ftdlY	and came down
ftf$lwA	lest you lose courage
ftfjr	and cause to gush forth
ftfrq	then they will separate
fthAjrwA	so that you (could) emigrate
fthjd	arise from sleep for prayer
ftkfrwn	and you disbelieved
ftkn	and it be
ftkwY	and will be branded
ftkwn	and is
ftkwnA	lest you both be
ftkwnwn	and you would be
ftlqY	Then received
ftm	so was completed
ftmArwA	but they disputed
ftmnwA	then wish
ftmskm	lest touches you
ftmtEwA	Then enjoy
ftmvl	then he assumed for her the likeness
ftnA	We try
ftnAdwA	And they called one another
ftnfEh	so would benefit him
ftnfx	then you breath
ftnh	We (had) tried him
ftnp	a trial
ftnqlbwA	then you will turn back
ftnth	his trial
ftnthm	(for) them a plea
ftntk	Your trial
ftntkm	your trial
ftntm	led to temptation
ftnwA	persecuted
ftnzEwA	Then they disputed
ftqEd	so that you sit
ftqTEwA	But they cut off
ftqbl	so accept
ftqblhA	So accepted her
ftqwl	and she said
ftrDY	then you will be satisfied
ftrY	so you see
ftrYh	and you see it
ftrbSwA	So wait
ftrdY	lest you perish
ftrkh	then left it
ftrp	(after) an interval (of cessation)
ftstjybwn	and you will respond
ftvyr	so they raise
ftwbwA	So turn in repentance
ftwkl	then put trust
ftwklwA	then put your trust
ftwl	So turn away
ftwlY	Then went away
ftwlwA	So they turned away
ftwnA	(with) a trial
ftx$Y	so you would fear
ftxTfh	and (had) snatched him
ftxbt	and may humbly submit
ftxrjwh	then produce it
ftyAn	two young men
ftylA	(even as much as) a hair on a date-seed
ftymmwA	then do tayammum
ftyp	youths
ftytkm	your slave girls
ftzl	lest, should slip
fvbThm	so He made them lag behind
fvbtwA	so strengthen
fwAq	delay
fwHdp	then (marry) one
fwfYh	He will pay him in full
fwhb	But granted
fwj	a group
fwjA	a troop
fwjd	and found
fwjdA	Then they found
fwjdnhA	but we found it
fwkh	Fruits
fwkzh	struck
fwl	So turn
fwlwA	[so] turn
fwq	on
fwqE	So was established
fwqYh	protected him
fwqYhm	protect them
fwqh	on it
fwqhA	above it
fwqhm	over them
fwqhn	above them
fwqkm	over you
fwrb	Then by Lord
fwrbk	So by your Lord
fwrhm	suddenly
fwsTn	Then penetrate (in the) center
fwsws	Then whispered
fwt	escape
fwzA	a success
fx$ynA	and we feared
fx*	So take
fx*hA	So take them
fx*wh	take it
fx*whm	seize them
fxAntAhmA	but they both betrayed them
fxlf	Then succeeded
fxlq	then He created
fxlqnA	then We created
fxlwA	then leave
fxr	so fell
fxrAj	But the payment
fxrj	So he left
fxsfnA	Then We caused to swallow up
fxwr	boaster
fxwrA	(and) [a] boastful
fy$fEwA	so (that) they intercede
fy&mnwA	and they believe
fy&x*	and will be seized
fy*hb	it passes away
fy*rhA	Then He will leave it
fy>tyhm	And it will come to them
fy>x*km	lest seize you
fyDEfh	so He will multiply it
fyDl	Then Allah lets go astray
fyDlk	for it will lead you astray
fyE*bh	Then will punish him
fyE*bhm	then He will punish them
fyElmwn	[thus] they will know
fyEt*rwn	to make excuses
fyHY	and gives life
fyHfkm	and press you
fyHl	lest should descend
fyHlfwn	then they will swear
fyHlwA	and making lawful
fySbHwA	Then they will become
fySlb	he will be crucified
fySyb	and strikes
fyTmE	lest should be moved with desire
fyZlln	then they would remain
fy_ws	then he gives up hope
fybsTh	then He spreads them
fydhnwn	so they would compromise
fydmgh	and it breaks its head
fydxlhm	will admit them
fygfr	Then, He will forgive
fygrqkm	and drown you
fyjElh	and put them
fyk$f	and He would remove
fykwn	and it is
fykydwA	lest they plan
fymkv	remains
fymsk	Then He keeps
fymt	then dies
fymwtwA	that they die
fymylwn	so (that) they (can) assault
fynZr	then see
fynZrwA	and see
fynb}hm	and inform them
fynb}km	and He will inform you
fynqlbwA	so (that) they turn back
fynsx	But Allah abolishes
fyntqm	then will take retribution
fyqsmAn	and let them both swear
fyqtl	then he is killed
fyqtlwn	they slay
fyqwl	and say
fyqwlwA	Then they will say
fyqwlwn	[thus] they will say
fyrkmh	and heap them
fyrsl	and send
fysHtkm	lest He will destroy you
fysbwA	lest they insult
fysqY	he will give drink
fystHY	and he is shy
fysxrwn	so they ridicule
fytElmwn	But they learn
fytbEwn	then follow
fywHY	then he reveals
fywfyhm	then He will give them in full
fyxrj	so comes out
fzAdhm	so has increased them
fzAdthm	(it) increases them
fzAdwhm	so they increased them
fzE	terror
fzEwA	they will be terrified
fzdh	increase for him
fzylnA	Then We will separate
fzyn	but made fair-seeming
fzynwA	(who) made fair-seeming
f{$hdwA	Then bear witness
f{*hb	So go
f{*hbA	go both of you
f{*krwA	So mention
f{*krwnY	So remember Me
f{Drb	and strike
f{DrbwA	so strike
f{Ebd	so worship
f{Ebdh	so worship Him
f{EbdnY	so worship Me
f{EbdwA	So worship
f{Ebdwh	so worship Him
f{Ebdwn	worship Me
f{EdlwA	then be just
f{Ef	Then pardon
f{EfwA	So forgive
f{Elm	So know
f{ElmwA	then know
f{Eml	So work
f{EtbrwA	So take a lesson
f{EtdwA	then you transgress
f{Etlwh	and drag him
f{EtrfnA	and we confess
f{EtrfwA	Then they (will) confess
f{EtzlwA	so keep away (from)
f{Etzlwn	then leave me alone
f{H*rhm	so beware of them
f{H*rwA	then beware
f{H*rwh	so beware of Him
f{H*rwhm	so beware of them
f{Hkm	So judge
f{Html	and carries
f{Htrqt	then it is burnt
f{STAdwA	then (you may) hunt
f{Sbr	be patient
f{SbrwA	then be patient
f{SdE	So proclaim
f{SfH	So overlook
f{ThrwA	then purify yourselves
f{TlE	Then he (will) look
f{bEvwA	So send
f{btgwA	So seek
f{dE	so pray
f{dEwA	So invoke
f{dEwh	so call Him
f{dEwhm	So invoke them
f{dfEwA	then deliver
f{dr'wA	Then avert
f{drtm	then you disputed
f{dxlY	So enter
f{dxlwA	So enter
f{dxlwhA	so enter it
f{fElwA	so do
f{frq	so (make a) separation
f{fsHwA	then make room
f{ftH	So judge
f{gfr	so forgive
f{gslwA	then wash
f{hbT	Then go down
f{hdwhm	then lead them
f{hjr	avoid
f{jEl	So make
f{jldwA	[then] flog
f{jldwhm	then flog them
f{jnH	then you (also) incline
f{jtbh	But chose him
f{jtnbwA	So avoid
f{jtnbwh	so avoid it
f{ktbnA	so write us
f{ktbwh	then write it
f{lESft	And the winds that blow
f{lHkm	So the judgment
f{lHmlt	And those carrying
f{lHq	Then (it is) the truth
f{lSlHt	So the righteous women
f{lfrqt	And those who separate
f{ljryt	And those sailing
f{llh	for Allah
f{lmdbrt	And those who arrange
f{lmgyrt	And the chargers
f{lmlqyt	And those who bring down
f{lmqsmt	And those distributing
f{lmwryt	And the producers of sparks
f{lnAr	the Fire
f{lsbqt	And those who race each other
f{ltlyt	And those who recite
f{ltmswA	and seek
f{ltqTh	Then picked him up
f{ltqY	so met
f{ltqmh	Then swallowed him
f{lywm	So today
f{lzjrt	And those who drive
f{m$wA	so walk
f{mnn	so grant
f{msHwA	then wipe
f{mtHnwhn	then examine them
f{n$zwA	then rise up
f{nSb	then labor hard
f{nSrnA	so help us
f{nTlqA	So they set out
f{nTlqwA	So they went
f{nZr	So see
f{nZrY	so look
f{nZrwA	and see
f{nb*	throw back
f{nbjst	Then gushed forth
f{nf*wA	then pass
f{nfjrt	Then gushed forth
f{nflq	So it parted
f{nfrwA	and advance
f{nhAr	so it collapsed
f{nkHwA	then marry
f{nkHwhn	So marry them
f{nqlbwA	So they returned
f{nslx	but he detached
f{nt$rwA	then disperse
f{ntSr	so help
f{ntZrwA	so wait
f{ntb*t	and she withdrew
f{nthY	and he refrained
f{nthwA	refrain
f{ntqmnA	So We took retribution
f{q*fyh	then cast it
f{qD	So decree
f{qEdwA	so sit
f{qSS	So relate
f{qTEwA	[then] cut off
f{qr'wA	so recite
f{qtlwA	and kill
f{qtlwhm	then kill them
f{rgb	turn your attention
f{rhbwn	fear [Me]
f{rjE	So return
f{rjEnA	so return us
f{rjEwA	so return
f{rtd	then returned (his) sight
f{rtdA	So they returned
f{rtqb	So watch
f{rtqbhm	so watch them
f{rzqwhm	then provide them
f{sEwA	then hasten
f{sjd	prostrate
f{sjdwA	So prostrate
f{slk	then put
f{slkY	and follow
f{slkwh	insert him
f{smEwn	so listen to me
f{st$hdwA	then call to witness
f{stE*	seek refuge
f{stESm	but he saved himself
f{stHbwA	but they preferred
f{st_*nwk	and they ask you permission
f{stb$rwA	So rejoice
f{stbqwA	so race
f{stfthm	Then ask them
f{stgfr	so ask forgiveness
f{stgfrwA	then ask forgiveness
f{stgfrwh	So ask forgiveness of Him
f{stglZ	then it becomes thick
f{stgvh	And called him for help
f{stjAb	So responded
f{stjbnA	so We responded
f{stjbtm	and you responded
f{stkbrtm	but you were proud
f{stkbrwA	they were arrogant
f{stmE	so listen
f{stmEwA	so listen
f{stmsk	So hold fast
f{stmtEtm	and you have enjoyed
f{stmtEwA	So they enjoyed
f{stqm	So stand firm
f{stqymA	So you two (keep to the) straight way
f{stqymwA	then you be upright
f{stwY	And he rose
f{stxf	So he bluffed
f{tbAE	then follows up
f{tbE	then follow
f{tbEhA	so follow it
f{tbEnY	so follow me
f{tbEwA	then follow
f{tbEwh	so follow it
f{tbEwnY	so follow me
f{tlwhA	and recite it
f{tqwA	So fear
f{tqwn	fear [Me]
f{tx*	and it took
f{tx*h	so take Him
f{tx*t	Then she took
f{tx*tmwhm	But you took them
f{tx*wh	so take him
f{vbtwA	then be firm
f{x$whm	so fear them
f{xlE	so remove
f{xrj	so leave
f{xtlT	so absorbs
f{xtlf	But differed
f{xtlfwA	then they differed
f}p	group
f}tkm	your forces
f}tyn	two hosts
g$Y	covered
g$wp	a veil
g$yhm	covers them
g$yp	an overwhelming
gAfr	Forgiver
gAlb	(can) overcome
gAsq	(of) darkness
gA}bp	hidden
gA}byn	absent
gDb	wrath
gDbY	My Anger
gDbn	angry
gDbwA	they are angry
gSbA	(by) force
gSp	chokes
gTA'	a cover
gTA'k	your cover
gbrp	(will be) dust
gdA	tomorrow
gdA'nA	our morning meal
gdqA	(in) abundance
gdwA	morning
gdwhA	its morning course
gdwt	you left early morning
gfArA	Oft-Forgiving
gflA	(is) unaware
gflp	heedlessness
gflwn	heedless
gflyn	unaware
gfr	has forgiven
gfrAnk	(Grant) us Your forgiveness
gfwr	Oft-Forgiving
gfwrA	Oft-Forgiving
gl	malice
glA	any rancor
glAZ	stern
glZp	harshness
glbA	(of) thick foliage
glbhm	their defeat
glbt	overcame
glbwA	prevailed
glbwn	victorious
glf	(are) wrapped
glm	a son
glmA	a boy
glmAn	boys
glt	Are chained
glyZ	harsh
glyZA	strong
gm	anguish
gmA	(with) distress
gmp	any doubt
gmrp	flood
gmrt	agonies
gmrthm	their confusion
gnY	(is) Free of need
gnm	sheep
gnmY	my sheep
gnmtm	you got as war booty
gnyA	rich
gr	(Had) deluded
grAbA	a crow
grAmA	inseparable
grbt	it set
grbyp	(of the) west
grf	lofty mansions
grfA	lofty dwellings
grfp	hollow
grk	has deceived you
grqA	violently
grwbhA	its setting
grwr	delusion
grwrA	delusion
gslyn	discharge of wounds
gsq	darkness
gvA'	stubble
gwA$	coverings
gwY	has he erred
gwl	(is) bad effect
gwrA	sunken
gwyn	astray
gwynA	we were astray
gyA	evil
gyZ	anger
gyb	unseen
gybh	His unseen
gybt	the bottom
gyr	not
gyrY	other than me
gyrh	other than it
gyrhA	for other (than) that
gyrkm	other than you
gyv	(of) a rain
gzY	fighting
gzlhA	her spun yarn
h$ymA	dry stalks
hAd	guide
hAdY	guide
hAdwA	are Jews
hAdyA	(as) a Guide
hAjr	emigrated
hAjrn	emigrated
hAjrwA	emigrated
hAlk	(will be) destroyed
hAmdp	barren
hAr	(about to) collapse
hAtwA	Bring
hAwyp	(will be the) Pit
hDmA	deprivation
hDym	soft
hb	grant
hbA'	(as) dust
hdA	(in) devastation
hdAY	My Guidance
hdY	guided
hdYhA	its guidance
hdYhm	their guidance
hdYkm	He guided you
hdYn	He has guided me
hdYnA	guided us
hdYnY	has guided me
hdnA	we have turned
hdyA	(as) an offering
hdynA	We guided
hdynh	guided him
hdytnA	You (have) guided us
hjrA	an avoidance
hlk	died
hlm	Come
hlwEA	anxious
hm	determined
hmAz	Defamer
hmsA	a faint sound
hmt	inclined
hmzp	slanderer
hmzt	suggestions
hny_A	(in) satisfaction
hrbA	(by) flight
hrwn	Harun
hrwt	Harut
hwA'	(are) empty
hwY	it goes down
hwYh	his desire
hwd	Hud
hwdA	Hud
hwn	humiliation
hwnA	(in) humbleness
hyn	easy
hynA	(was) insignificant
hyt	Come on
hzwA	(in) jest
j**A	(into) pieces
j*E	trunk
j*wE	trunks
j*wp	a burning wood
jA'	came
jA'h	came to him
jA'hA	came to it
jA'hm	came to them
jA'k	came to you
jA'km	came to you
jA'nA	came to us
jA'nY	have come to me
jA't	came
jA'th	it (has) come to him
jA'thA	comes to it
jA'thm	came to them
jA'tk	came to you
jA'tkm	came to you
jA'tnA	they came to us
jA'w	came
jA'whA	they reach it
jA'wk	they come to you
jA'wkm	they come to you
jAEl	(Who) makes
jAElk	(am) the One to make you
jAbwA	carved out
jAlwt	Jalut
jAmE	will gather
jAmdp	firmly fixed
jAn	any jinn
jAnb	side
jAr	a neighbor
jAryp	flowing
jAvyp	kneeling
jAwzA	they had passed beyond
jAwzh	he crossed it
jAz	(can) avail
jA}r	(are) crooked
jEl	made
jElA	they make
jElh	made it
jElhA	has made it
jElkm	made you
jElnA	We made
jElnh	We made it
jElnhA	have made it
jElnhm	We made them
jElnk	We put you
jElnkm	We made you
jElth	it made it
jEltm	you have made
jElwA	they put
jHdwA	they rejected
jHym	Hellfire
jbAhhm	their foreheads
jbAl	mountains
jbAr	tyrant
jbArA	a tyrant
jbAryn	(as) tyrants
jbl	hill
jblA	a multitude
jd	Majesty
jdAl	quarrelling
jdArA	a wall
jdd	(are) tracts
jdlA	quarrelsome
jdlnA	(in) dispute with us
jdltm	[you] argue
jdltnA	you disputed with us
jdlwk	they argue (with) you
jdr	walls
jdyd	new
jdydA	new
jfA'	(as) scum
jhAdA	a striving
jhAdh	(with the) striving due (to) Him
jhArA	publicly
jhd	strong
jhdA	(to) strive
jhdAk	they strive against you
jhdhm	their effort
jhdwA	strive
jhlwn	ignorant
jhnm	Hell
jhr	publicizes
jhrp	openly
jhwlA	ignorant
jhzhm	he had furnished them
jlYhA	it displays it
jlbybhn	their outer garments
jldp	lash(es)
jlwd	the hides
jlwdA	skins
jlwdhm	their skins
jlwdkm	your skins
jmA	immense
jmAl	(is) beauty
jmE	collects
jmEA	all together
jmEh	(is) its collection
jmEhm	their gathering
jmEkm	your gathering
jmEnhm	We will gather them
jmEnkm	We have gathered you
jmEwA	gathered
jmlp	all at once
jmlt	camels
jmyE	all
jmyEA	all
jmyl	(is) beautiful
jmylA	good
jn	covered
jnAH	sin
jnAHk	your wing
jnHwA	they incline
jnb	a distance
jnbA	(when you are) impure
jnd	host
jndA	(in) forces
jndnA	Our host
jnfA	(any) error
jnp	Garden
jnt	gardens
jntAn	Two gardens
jntY	My Paradise
jnth	his garden
jntk	your garden
jntyn	two gardens
jnwbhA	their sides
jnwbhm	their sides
jnwbkm	your sides
jnwd	hosts
jnwdA	forces
jnwdh	his hosts
jnyA	ripe
jrAd	locusts
jrHtm	you committed
jrf	(of) a cliff
jrm	doubt
jrzA	barren
jsdA	body
jvmyn	fallen prone
jvyA	bent (on) knees
jw	the midst
jwAb	answer
jwE	hunger
jwfh	his interior
jybk	your bosom
jydhA	her neck
jywbhn	their bosoms
jz&A	recompense
jz&h	Its recompense
jz'	(is) a portion
jz'A	a portion
jzA&hm	their reward
jzA&km	(is) your recompense
jzA'	a reward
jzwEA	distressed
jzynhm	We recompensed them
jzythm	have rewarded them
j}nA	we came
j}nhm	We had brought them
j}nk	We bring you
j}nkm	We have brought you
j}t	come
j}thm	you bring them
j}tk	I bring you
j}tkm	I brought you
j}tm	you have brought
j}tmwnA	you have come to Us
j}tnA	you have come to us
k$Tt	is stripped away
k$f	He removes
k$fnA	We remove
k$ft	removers
k$jrp	(is) like a tree
k*Ab	a liar
k*AbA	(with) denial
k*b	deny
k*bA	a lie
k*bh	(is) his lie
k*bp	lying
k*bt	denied
k*btm	you denied
k*bwA	deny
k*bwh	its Messenger
k*bwk	they deny you
k*bwkm	they deny you
k*bwn	(are) liars
k*byn	liars
k*krkm	as you remember
k>Hd	like anyone
k>lf	(is) like a thousand
k>mvl	Like
k>s	a cup
k>sA	a cup
kA$f	remover
kA$fp	any remover
kA$fwA	(will) remove
kA*bp	a denial
kAd	had nearly
kAdH	(are) laboring
kAdt	she was near
kAdwA	they almost
kAfp	completely
kAfr	disbeliever
kAfrp	disbelievers
kAfwrA	(of) Kafur
kAhn	(of) a soothsayer
kAlwhm	they give by measure (to) them
kAmlp	in all
kAmlyn	complete
kAn	is
kAnA	they [both] were
kAnt	is
kAntA	were
kAnwA	be
kAtb	a scribe
kAtbA	a scribe
kE*Ab	as punishment
kESf	like straw
kErD	(is) like width
kHb	as (they should) love
kSAHb	like companion
kSyb	like a rainstorm
kTY	like folding
kZlmt	(is) like(the)
kZmyn	choked
kZym	a suppressor
kbArA	great
kbA}r	great (sins)
kbd	hardship
kbr	hard
kbrh	took upon himself a greater share of it
kbrt	Grave (is)
kbsT	like one who stretches
kbt	were disgraced
kbtwA	(will) be disgraced
kbyr	great
kbyrA	large
kbyrhm	Their chief
kbyrp	big
kb}r	great
kd>b	Like behavior
kdEA'	as call
kdHA	(with) exertion
kdnA	(did) We plan
kdt	you almost
kf	withheld
kfAr	ungrateful
kfArA	a disbeliever
kfArp	an expiation
kfAtA	a receptacle
kfY	Sufficient
kfft	I restrained
kfl	a portion
kflyn	double portion
kfr	denied
kfrA	(in) disbelief
kfrAn	(will be) rejected
kfrh	his disbelief
kfrhm	their disbelief
kfrnA	We have denied
kfrp	an expiation
kfrt	deny
kfrtm	you disbelieve
kfrwA	disbelieve
kfrwn	disbelievers
kfryn	deniers
kfwA	Restrain
