$>n	durumda
bmqEdhm	oturup kalmalarına
bmsmE	işittirecek
bmvl	gibi
bmvlh	onun benzerini
bmvlhA	aynıyla
bmwqE	yerlerine
bmwsY	Musa
bmyt	ölemez
bmyvqhm	söz vermeleri için
bmzHzHh	onu uzaklaştıracak
bnA'	bina
bnASythA	onun perçeminden
bnAt	kızları
bnAtY	kızlarım
bnAtk	senin kızlarında
bnEmp	ni'metini
bnEmt	ni'metiyle
bnEmth	O'un ni'metiyle
bnSb	bir yorgunluk
bnSr	yardımıyle
bnSrh	yardımıyle
bnY	oğulları
bnb<	bir haber
bnfsk	kendi nefsin
bnhr	bir ırmakla
bnwA	oğullarının
bnwr	nuru ile
bnwrhm	onların nurunu
bnxl	hurmalarla
bnyh	kendi oğullarına
bnyn	oğullar
bnynA	bir bina
bnynh	yapısını
bnynhA	inşa ettik
bnynhm	binaları
bqTE	bir vaktinde
bqY	geri kalan
bqbs	bir kor
bqbwl	kabulle (şekilde)
bqdr	ölçüde
bqdrhA	kendi ölçüsünce
bqlb	kalb
bqlhA	sebzesi-
bqmySY	benim gömleğimi
bqnTAr	yüklerle mal
bqr'An	bir Kur'an
bqrbAn	bir kurban
bqrp	bir inek
bqrt	inek
bqwl	sözü
bqwm	bir milet
bqwp	güçle
bqyEp	düz arazideki
bqyp	fazilet
bqyt	bıraktıkları
br'&A	uzağız
br'wskm	başlarınızı
br>s	başını
br>sY	başımı
brA'	uzağım
brA'p	ihtardır
brAdY	verip de
brHmp	bir rahmet
brHmth	rahmetini
brHmtk	rahmetinle
brHmtnA	rahmetimizi
brY'	uzağım
brb	Rabbe
brbY	Rabbime
brbh	Rabbine
brbhm	Rablerine
brbk	Rabbin
brbkm	Rabbinize
brbnA	Rabbimize
brbwp	tepe üzerinde bulunan
brd	bir dolu
brdA	serin
brdhn	onları geri almağa
brhn	bir delil
brhnAn	iki delildir
brhnkm	delilinizi
brjAl	bazı erkeklere
brjlk	ayağını
brknA	bereketlendirdik
brknh	yanını
brkt	bolluklar
brq	kamaştığı
brqh	şimşeğinin
brsl	peygamberlerle
brslY	elçilerime
brslnA	elçilerimizi
brsltY	mesajlarımla
brswl	bir elçiyi
brswlh	O'nun Elçisine
brswlhm	elçisini
brwH	Ruh ile
brwj	kaleler
brwjA	burçlar
bryH	bir rüzgârın
bry_A	bir suçsuzun
bry_wn	uzaksınız
brzq	bir azık
brzwA	çıkınca
brzwn	ortaya çıkarlar
bs&Al	istemekle
bsAHthm	yurtlarına
bsHr	bir büyü
bsHrh	büyüsüyle
bsHrhmA	büyüleriyle
bsHrk	büyünle
bsT	bollaştırsaydı
bsTp	gücünü
bsTt	sen uzatırsan
bsbb	bir sebep(ip)le
bskrY	sarhoş
bslTn	bir delil
bslm	selam ile
bsm	adıyla
bsmEhm	işitmelerini
bsw'	fena
bswr	bir sur
bswrp	bir sure
bsxT	hışmına
bsymYhm	yüzlerinden
bsymhm	simalarından
bt>wyl	yorumunu
bt>wylh	onun yorumunu
btAbE	uyacak
btArkY	bırakacak
btHyp	bir selam ile
bv	yaydığı
bvAlv	üçüncüsüyle
bvY	üzüntümü
bvlvp	üç
bvmn	bir pahaya
bvmrh	ürünü
bw>nA	yerleştirdik
bwAd	bir vadiye
bwHdp	bir tek (şeyi)
bwjhh	yüzüyle
bwjwhkm	yüzlerinize
bwldh	çocuğu yüzünden
bwldhA	çocuğu yüzünden
bwldtY	anneme
bwldyh	ana babasına
bwrk	mübarek kılındı
bwrqkm	gümüş (para) ile
bxAlSp	samimiyetle
bxArj	çıkışı
bxE	helak edeceksin
bxbr	bir haber
bxl	cimrilik ederse
bxlq	bir halk
bxlqhm	kendi paylarına düşenle
bxlqhn	bunları yaratmakla
bxlqkm	payınıza düşenle
bxlwA	cimrilik ettiler
bxmrhn	başörtülerini
bxmsp	beş
bxrjyn	çıkacak
bxs	düşük
bxsA	eksik verilmesinden
bxylk	atlılarınla
bxyr	bir hayır
byAn	bir açıklamadır
byD	beyaz
byDA'	berrak
byE	alışveriş
byHyY	Yahya'yı
byd	elindedir
bydY	iki elimle
bydh	eliyle
bydk	eline
bymynh	sağından
bymynk	elinle
byn	açık
bynA	açıkladık
bynY	benimle
bynh	O'nunla
bynhA	onunla
bynhm	aralarını
bynhmA	aralarını
bynhn	bunlar arasında
bynk	seninle aranda
bynkm	sizinle
bynnA	aramızı
bynp	açık
bynt	apaçık
byt	ev
bytA	bir ev
bytY	evimi
byth	evi-
bythA	onun evinde iken
bytk	evin-
bywm	gününe
bywsf	Yusuf'a
bywt	evlerine
bywtA	evler
bywthm	evlerini
bywthn	evleri-
bywtkm	evlerinizi
bywtkn	evlerinizde
bywtnA	evlerimiz
bzEmhm	zanlarınca
bzynp	süslerini
b{l$hdA'	şahidleri
b{l$hdp	şahidliği
b{l$hr	aya karşılıktır
b{l$ms	güneşi
b{l$r	şerre
b{l'Axrp	ahirete
b{l'Ayt	mu'cizeleri
b{l*kr	Zikr'i (Kur'an'ı)
b{l<fk	iftirayı
b{l<vm	günah
b{l<ymn	imana
b{l>*n	kulak
b{l>HqAf	Ahkaf'taki
b{l>fq	ufukta
b{l>lqb	kötü lakaplarla
b{l>mn	güvende olmağa
b{l>nf	burun
b{l>nvY	kadın ile
b{l>xsryn	en çok ziyana uğrayanları
b{l>zlm	fal oklariyle
b{lE$Y	akşam
b{lE*Ab	azabı
b{lESbp	bir topluluğa
b{lEbd	köle ile
b{lEdl	adaleti
b{lEdwp	vadinin
b{lEhd	ahdi
b{lEmrp	ömre ile
b{lEqwd	akitleri(zi)
b{lErA'	çıplak bir yere
b{lErf	iyiliği
b{lErwp	kulpa
b{lEyn	göz
b{lHj	haccı
b{lHkmp	hikmetle
b{lHq	hakkı
b{lHr	hür ile
b{lHsnp	iyilik
b{lHsnt	iyiliklerle
b{lHywp	hayatına
b{lSbr	sabır
b{lSdq	doğruyu
b{lSlwp	namazı
b{lTgwt	tağut (şeytan)ı
b{lTyb	temiz olanla
b{lb$rY	müjdeyle
b{lb>sA'	yoksulluk
b{lbTl	batıla
b{lbnyn	oğulları
b{lbr	iyiliği
b{lbxl	cimriliği
b{lbynt	kanıtlar
b{lbyt	(Eski) Evi [Kâbe'yi]
b{ldhn	yağlı olarak
b{lfH$A'	kötülüğü
b{lftH	fetih
b{lgdw	sabah
b{lgdwp	sabah
b{lgmm	bulutları
b{lgyb	gaybda
b{lhdY	hidayet
b{ljbt	cibt'e
b{ljnb	yan(ınız)daki
b{ljnp	cennetle
b{ljnwd	ordularla
b{lkfr	küfre
b{lktb	Kitaba
b{llgw	kasıtsız
b{llh	Allah
b{lm&mnyn	mü'minlere
b{lmErwf	iyi
b{lmgfrp	mağfiret karşılığında
b{lml<	topluluk
b{lmlk	hükümdarlığa
b{lml}kp	melekleri
b{lmn	başa kakmakla
b{lmnkr	kötülüğü
b{lmwdp	sevgi
b{ln*r	adaklarını
b{lnAs	insanlara
b{lnbyn	peygamberler
b{lnfs	can
b{lnhAr	gündüzün
b{lnwSY	alınlar(ın)dan
b{lqEwd	oturmağa
b{lqr'An	Kur'an ile
b{lqsT	adaleti
b{lqsTAs	terazi ile
b{lqwl	sözü
b{lrHmn	Rahman'a
b{lrsl	peygamberler
b{lrwH	ruh ile
b{lsAEp	sa'ati
b{lsAHl	sahile
b{lsn	diş
b{lsnyn	yıllarca
b{lsw'	kötü
b{lswq	bacaklarını
b{lsy}p	kötülük
b{ltwrYp	Tevrat'ı
b{lwAd	vadide
b{lwHY	vahiyle
b{lwSyd	girişte
b{lxlq	yaratışta
b{lxyr	hayra
b{lxyrt	hayırlarda
b{lyl	gece
b{lywm	gününe
b{sm	adını
b{txA*km	(tanrı) edinmekle
b}s	ne kötü
b}smA	ne kötüdür
d>b	durumu
d>bA	âdetiniz üzere
dAEY	da'vetçisine
dAHDp	batıldır
dAbp	canlı
dAbr	ardı
dAmt	durdukça
dAmwA	onlar olduğu sürece
dAnyp	salkımlar
dAr	yurdu
dArhm	yurtlarında
dArkm	yurdunuzda
dAwd	Davud
dA}byn	düzenli seyreden
dA}m	süreklidir
dA}rp	bir felaket
dE&A	yalvarması
dEA	çağıran
dEA&km	du'anız (ibadetiniz)
dEA'	du'ası
dEA'Y	benim da'vetim
dEA'h	du'a eder (gibi)
dEA'km	sizin çağırmanızı
dEAh	du'a ettiği
dEAkm	sizi çağırdığı
dEAn	bana du'a ettiği
dEAnA	bize dua eder
dEA}hm	bunların yalvardıkları-
dEY	çağrıldığınız
dEwA	çağırırlar
dEwYhm	dualarının
dEwp	du'a
dEwt	da'vet ettim
dEwthm	onları da'vet ettim
dEwtk	senin çağrına
dEwtkm	sizi davet etmekten
dEwtkmA	duanız
dEytm	çağrıldığınız
dHwrA	kovulurlar
dbr	arkadan
dbrh	arkasını
df'	ısınma
dfE	savunması
dfEtm	geri verdiğiniz
dkA	sarsıla
dkA'	yerle bir
dkp	çarpma ile
dkt	dümdüz edildiği
dlhm	göstermedi
dlwh	kovasını
dmA	kan
dmA&hA	kanları
dmA'km	birbirinizin kanını
dmr	yıkıp başlarına geçirmiştir
dmrnA	helak ettik
dmrnhm	onları yıktık yok ettik
dmt	sürekli
dmtm	olduğunuz sürece
dnA	yaklaştı
drAsthm	onların okumasından
drY	inciden
drhm	paraya
drjp	derecesi
drjt	dereceler
drkA	yetişme(sin)den
drst	sen ders almışsın
dwlp	dolaşan bir şey
dwn	ayrı
dwnY	benden başka
dwnh	O'nsuz
dwnhA	ona (güneşe) karşı
dwnhm	onlar değil
dwnhmA	onların dışında
dwnk	senden başka
dwnkm	kendinizden başkasını
dwnnA	bize
dxAn	duman halinde olan
dxl	giren
dxlA	bozucu
dxlh	ona girse
dxlt	girdiğin
dxltm	girdiğiniz
dxltmwh	girerseniz
dxlwA	girince
dxlwh	girdikleri
dyn	din
dynA	dine
dynY	benim dinim-
dynh	dini-
dynhm	dinleri
dynkm	dininiz-
dyrhm	yurtları-
dyrkm	yurtlarınız-
dyrnA	yurtlarımız-
f$dwA	sıkıca bağlayın
f$hdp	(o halde) şahidliği
f$ltm	siz korktunuz
f$rbwA	hepsi içtiler
f$rbwn	ve içecekler
f$rd	dağıt
f&Ad	gönlü
f&Adk	kalbini
f*Aqt	taddı
f*AqwA	taddılar
f*bHwhA	ve boğazladılar onu
f*kr	öğüt ver
f*rhm	onları bırak
f*rnY	bana bırak
f*rwh	bırakın onu
f*rwhA	bırakın onu
f*wqwA	haydi tadın
f*wqwh	şimdi tadın onu
f<TEAm	doyurmalıdır
f<lhkm	tanrınız
f<msAk	ya tutmak (lazım)dır
f<xwnkm	sizin kardeşlerinizdir
f>$Art	(çocuğu) gösterdi
f>$hdwA	şahid bulundurun
f>*Aqhm	onlara taddırdı
f>*n	izin ver
f>*nwA	bilin
f>*qhA	(bunun üzerine) ona taddırdı
f>DlwnA	bizi saptırdılar
f>E*bhm	onlara azabedeceğim
f>Eqbhm	sokmuştur
f>ErD	aldırma
f>ErDwA	vazgeçin
f>EynwnY	siz bana yardım edin de
f>HbT	ve boşa çıkardı
f>Hkm	ben hükmedeceğim
f>Hsn	güzel yaptı
f>HyA	dirilterek
f>Hykm	O sizi diriltti
f>HyynA	ve diriltiriz
f>Hyynh	kendisini dirilttiğimiz
f>SAbh	ona isabet etttiğinde
f>SAbhA	isabet etsin
f>SAbhm	nihayet onlara ulaştı
f>SHb	adamları
f>SbH	ve oldu
f>SbHt	(bahçe) kesiliverdi
f>SbHtm	ve oldunuz
f>SbHwA	olmuşlardır
f>Sbtkm	ve başınıza gelmişse
f>Sdq	sadaka verseydim
f>SlH	ve düzeltirse
f>SlHwA	düzeltin
f>Smhm	sağır yaptığı
f>TAEwh	onlar da ona boyun eğdiler
f>TlE	böylece bakayım
f>bY	ama yapmazlar
f>bwA	fakat kaçındılar
f>byn	fakat kaçındılar
f>dlY	sarkıttı
f>dxlwA	sokuldular
f>fwz	kazansaydım
f>g$ynhm	ve onları kapattık
f>grqnh	biz de onu boğduk
f>grqnhm	onları boğduk
f>grynA	bu yüzden saldık
f>gwynkm	sizi azdırdık
f>hlknA	biz de helak ettik
f>hlknhm	fakat onları helak ettik
f>hlkth	onu mahveden
f>hlkwA	helak edildiler
f>jA'hA	ve onu getirdi
f>jmEwA	siz toplayın
f>jrh	onu yanına al
f>klA	yediler
f>klh	onu yemiş
f>krmh	ve ona ikramda bulunsa
f>kvrt	çok ileri gittin
f>kvrwA	çokları
f>kwn	böylece olsaydım
f>lf	(Allah) uzlaştırdı
f>lhmhA	ona ilham edene andolsun
f>lqY	attı
f>lqYhA	onu attı
f>lqh	ve at
f>lqwA	diyerek
f>lqwh	koyun
f>lqyAh	bundan dolayı onu atın
f>lqyh	onu bırak
f>mAth	kendisini öldürüp
f>mTr	yağdır
f>mh	onun anası
f>mkn	bu yüzden imkan verdi
f>mlyt	fakat bir süre verdim
f>mskwhn	ya onları tutun
f>mtEh	onu geçindiririm
f>n$>nA	sonra yetiştirdik
f>n$rnA	böylece canlandırdık
f>n*rtkm	ben sizi uyardım
f>nZrnY	(bari) beni ertele
f>nbtnA	bitirdik
f>nb}km	size haber veririm
f>nfqwA	geçimini sağlayın
f>nfx	üflerim
f>njYh	fakat onu kurtardı
f>njynh	O'nu kurtardık
f>njynhm	onları kurtardık
f>njynkm	sizi kurtarmış
f>nq*km	(Allah) sizi kurtardı
f>nsYh	fakat ona unutturdu
f>nsYhm	ve onlara unutturduğu
f>nzl	ve indirdi
f>nzlnA	indirdik
f>qAmh	hemen onu doğrulttu
f>qbl	dönmüş
f>qblt	sonra geldi
f>qblwA	hemen gittiler
f>qm	çevir
f>qmt	kıldırdığın
f>qymwA	(tam) kılın
f>rAd	istedi ki
f>rAdwA	ve istediler
f>rYh	sonra ona gösterdi
f>rdnA	istedik ki
f>rdt	istedim
f>rsl	gönder
f>rslh	onu gönder
f>rslnA	ve gönderdik
f>rslwA	gönderdiler
f>rwnY	gösterin bana
f>sknh	ve onu durdurduk
f>sqT	o halde düşür
f>sqynkmwh	böylece sizi suladık
f>sr	yürü
f>srhA	bunu sakladı
f>t	getir
f>tY	yıktı (söktü)
f>tYhm	fakat onlara geldi
f>tbE	o da tuttu
f>tbEh	onu izler
f>tbEhm	onların ardına düştü
f>tbEnA	biz de onları devirdik
f>tbEwhm	onların ardına düştüler
f>tmhn	o da onları tamamlamıştı
f>tmwA	tamamlayın
f>tnA	getir bakalım
f>tt	getirdi
f>twA	varın
f>twhn	onlara varın
f>twnA	o halde bize getirin
f>tyA	gidin ikiniz
f>tyAh	haydi varın ona
f>vbhm	onlara verdi
f>vbkm	bundan dolayı size  verdi
f>vrn	toz koparanlara
f>wA	o halde sığının
f>wHY	işaret etti
f>wHynA	diye vahyettik
f>wf	tam ver
f>wfwA	tam yapın
f>wjs	içine düşürdü
f>wlY	daha yakın
f>wqd	ateş yak
f>wrY	gömmekten
f>wrdhm	sürükler
f>x*h	onu cezalandırdı
f>x*hm	onları yakaladı
f>x*nh	biz de onu tuttuk
f>x*nhm	biz de onları yakaladık
f>x*thm	onları yakaladı
f>x*tkm	derhal sizi yakalamıştı
f>xAf	korkuyorum
f>xlftkm	ama ben sözümden caydım
f>xlftm	bu yüzden caydınız
f>xrj	çıkardı
f>xrjhmA	çıkardı
f>xrjnA	çıkardık
f>xrjnhm	böylece biz onları çıkardık
f>ydnA	biz de destekledik
f>zlhmA	onlar(ın ayağın)ı kaydırdı
fA't	dönerse
fA'w	(o süre içinde) dönerlerse
fAEl	yapacağım
fATr	yaratan
fAh	ağzına
fAjrA	ahlaksız
fAlq	yaran
fAqE	parlak
fArD	yaşlı
fArqwhn	onlardan ayrılın
fAsq	bir fasık
fAsqA	fasık
fAtkm	giderse
fAz	ermiş olur
fDHkt	ve bunun üzerine güldü
fDl	ikram
fDlA	lutfunu
fDlh	lutfu-
fDlkm	sizi üstün yapmış iken
fDlnA	üstün kıldık
fDltkm	sizi üstün kıldım
fDlwA	şaştılar
fDp	gümüş-
fDrb	vurun
fDrbnA	biz de vurduk
fEAl	yapandır
fEAqbtm	sonra sıra size gelirse
fEAqbwA	ceza verin
fESY	karşı geldi
fESwA	karşı geldiler
fEZwhn	öğüt verin
fEdp	sayısınca tutar
fEdthn	onların bekleme süresi
fEfwnA	vazgeçtik
fEjb	şaşmak lazım
fEjl	şimdilik verdi
fEl	yaptı
fElh	yapmış
fElm	bildi
fElmwA	bilirler ki
fEln	yapmalarında
fElnA	yaptığımız
fElt	yaptın
fElth	bunları yapmadım
fElthA	onu yaptığım
fEltk	yaptığın
fEltm	yaptığınız
fElwA	yaptıkları
fElwh	yaptıkları
fEmwA	kör oldular
fEmyt	kör olmuştur
fEnd	çünkü yanında
fEqrwA	derken boğazladılar
fEqrwhA	ve onu kestiler
fErfhm	o onları tanıdı
fEsY	belki
fEtwA	başkaldırdılar
fEzznA	biz de destekledik
fH$p	bir kötülük
fH$r	topladı
fHAq	ama kuşatıverdi
fHAsbnhA	biz de onu hesaba çektik
fHbTt	bu yüzden boşa çıkar
fHkmh	hüküm vermek
fHmlth	ona gebe kaldı
fHq	hak ettiler
fHsbh	artık ona yeter
fHywA	siz de selam verin
fSAlA	sütten kesmek
fSEq	sonra ölür (bayılır)
fSb	bu yüzden çarptı
fSbr	artık sabretmek gerek
fSbrwA	sabrettiler
fSdhm	ve onları çevirdi
fSdqt	kadın doğrudur
fSdwA	engel oldular
fSkt	vurarak
fSl	ayrıldığında
fSlnA	biz genişçe açıkladık
fSlnh	anlattık
fSlt	ayrılınca
fSrf	savdı
fSrhn	onları alıştır
fSyAm	oruç tutar
fTAf	fakat sardı
fTAl	ve geçen
fTbE	bu yüzden mühürlendi
fTfq	sonra başladı
fTl	çisinti olur
fTlqwhn	onları boşayın
fTmsnA	biz de siliverdik
fTr	yaratmıştır
fTrhn	onları yaratmıştır
fTrkm	sizi yaratan
fTrnA	bizi yaratan
fTrnY	beni yaratana
fTrt	yaratmasına
fTwEt	çağırdı
fZA	kaba
fZlmwA	haksızlık ettiler
fZlt	ve oluverir
fZltm	dururdunuz
fZlwA	olsalardı
fZn	sanmıştı
fZnwA	artık iyice anladılar
f_A*whmA	onlara eziyet edin
f_Amn	ve inandığı halde
f_AmnA	ve inandık
f_Amnt	inandı
f_AmnwA	inanın
f_At	o halde ver
f_AtYhm	onlara verdi
f_Athm	bunlara ver
f_Att	veren
f_AtwA	verin
f_Atwhm	verin
f_Atwhn	onlara verin
f_AtynA	biz de verdik
f_AwYkm	(Allah) sizi barındırdı
f_AxrAn	başka iki kişi
f_Azrh	onu güçlendiren
fb$r	müjdele
fb$rh	ona müjdele
fb$rhm	onlara müjdele
fb$rnh	ona müjdeledik
fb$rnhA	biz de ona müjdeledik
fb<*n	hep izniyledir
fbA'w	uğradılar
fbAyEhn	onlarla bi'atleş
fbEdA	uzak olsun
fbEv	sonra gönderdi
fbEztk	senin izzetine and olsun ki
fbSrk	artık gözün
fbSrt	o da gözetledi
fbZlm	zulümlerinden dolayı
fbd>	(aramağa) başladı
fbdl	değiştirdiler
fbdt	böylece göründü
fbgY	azgınlık etti
fbhdYhm	onların yoluna
fbht	şaşırıp kaldı
fblgn	ulaştıklarında
fbr>h	onu beraat ettirdi
fb}s	ne kötü
fdA'	fidye alırsınız
fdEA	sonra du'a etti
fdEwhm	işte çağırdılar
fdktA	çarpıştırıldığı
fdlYhmA	onları aşağı sarkıttı
fdmdm	başlarına geçirdi
fdmrnhA	biz de orayı yıkarız
fdmrnhm	ve onları yok ettik
fdxlwA	girdiler
fdyp	fidye
ffdyp	fidye (versin)
ffhmnhA	onu bellettik
ffrrt	kaçtım
ffrwA	o halde kaçın
ffryqA	kimini
ffsq	dışına çıktı
ffsqwA	kötü işler yaparlar
fftHnA	biz de açtık
fftqnhmA	biz onları ayırdık
ffzE	ve korkmuştu
fg$YhA	sardırttı onlara
fg$yhm	örttü (boğdu)
fgfr	(Allah) bağışladı
fgfrnA	biz de affettik
fglbwA	yenildiler
fhb	(Ne olur) lutfet
fhdY	bunun üzerine iletti
fhdynhm	onlara yol gösterdik
fhzmwhm	derken onları bozdular
fj	yollardan
fjA'	ve getirdi
fjA'hA	onlara geliverdi
fjA'th	derken ona geldi
fjA'whm	getirdiler
fjAjA	geniş
fjAswA	(sizi) araştırdılar
fjEl	ve verdi
fjElh	ve onu kıldı
fjElhm	nihayet onları etti
fjElnA	ve getirdik
fjElnh	onu koyduk
fjElnhA	ve bunu yaptık
fjElnhm	onları yaptık
fjElnhn	onları yapmışızdır
fjEltm	ve sizin kıldığınızı
fjmE	ve topladı
fjmEnhm	ve onları toplarız
fjwp	bir dehlizin
fjwrhA	bozukluğunu
fjzA&h	onun cezası
fjzA'	cezası vardır
fk	çözmektir (azad etmek)
fk$fnA	biz açtık
fk*b	yine de yalanladı
fk*bnA	ama biz yalanladık
fk*bt	kadın yalancıdır
fk*bwA	yalanladılar
fk*bwh	onu yalanladılar
fk*bwhmA	onları yalanladılar
fkAn	idi
fkAnt	idi
fkAnwA	oldular
fkAtbwhm	mükatebe yapın
fkbkbwA	tepe taklak atılırlar
fkbt	yıkılır
fkf	(Allah) çekmişti
fkfY	şimdi yeter
fkfrt	fakat nankörlük etti
fkfrth	bunun keffareti
fkfrwA	ve inkar ettiler
fkhp	meyva
fkhyn	sefa sürerler
fklA	yeyin
fklY	ye
fklwA	yeyin
fklwh	onu yeyin
fkntm	oysa siz
fkr	düşündü
fkrhtmwh	işte bundan iğrendiniz
fkswnA	sonre giydirdik
fkvrkm	O sizi çoğalttı
fkydwnY	haydi bana tuzak kurun
fkyf	nasıl
fl>mh	anasına düşer
fl>nfshm	kendileri için
fl>nfskm	kendiniz içindir
fl>qTEn	öyleyse ben keseceğim
flAnA	falanı
flEnp	artık la'neti
flErfthm	sen onları tanırdın
flbv	kaldı
flbvt	sonra kaldın
flb}s	ne kötüdür
flk	bir yörüngede
flkl	her
fll*kr	erkeğe
fllh	Allah'ındır
fllwldyn	ana-baba içindir
flmswh	onu tutsalardı
fln*yqn	fakat taddıracağız
fln>tynhm	onlara gelirim
fln>tynk	biz de mutlaka sana getireceğiz
flnEm	ne güzel
flnHyynh	onu yaşatırız
flnfsh	kendi yararınadır
flnnb}n	biz mutlaka haber vereceğiz
flnqSn	ve elbette anlatacağız
flns_ln	soracağız
flnwlynk	elbette seni döndüreceğiz
flqtlwkm	sizinle savaşırlardı
fltqm	namaza dursun
fly&d	ödesin
fly&mn	inansın
fly*wqwh	onu tadsınlar
fly>kl	yesin
fly>t	öyleyse getirsin
fly>tkm	size getirsin
fly>tnA	bize getirse ya
fly>twA	haydi getirsinler
flyDHkwA	artık gülsünler
flyEbdwA	kulluk etsinler
flyElmn	elbette bilecektir
flyEml	yapsın
flyH*r	o halde sakınsınlar
flySlwA	ve namaz kılsınlar
flySmh	oruç tutsun
flybtkn	yaracaklar
flydE	o zaman çağırsın
flyfrHwA	sevinsinler
flygyrn	değiştirecekler
flykfr	inkar etsin
flyktb	yazdırsın
flykwnwA	geçsinler
flylqh	onu bıraksın
flymdd	uzansın
flymll	yazdırsın
flynZr	baksın
flynfq	versin
flyqtl	savaşsınlar
flyrtqwA	öyleyse yükselsinler
flys	yoktur
flystEff	çekinsin
flyst_*nwA	izin istesinler
flystjybwA	cevap versinler
flytnAfs	yarışsınlar
flytqwA	korksunlar
flytwkl	dayansınlar
fm>wYhm	barınacakları yer
fmAl_wn	dolduracaklar
fmHwnA	(sonra) sildik
fmhl	o halde mühlet ver
fmkv	geldi
fmn	lutfetti
fmrt	gezdirdi
fmstqr	(sizin için) bir karar
fmtE	geçimidir
fmtEnhm	biz de onları geçindirdik
fmtEwhn	hemen geçimliklerini verin
fmvlh	onun durumu
fn*r	böyle bırakırız
fnAZrp	ve bakayım
fnAdY	nihayet yalvardı
fnAdYhA	ona şöyle seslendi
fnAdth	ona seslendiler
fnAdwA	çağırdılar
fnEm	ne güzel
fnEmA	ne güzeldir
fnEml	yapalım
fnSf	yarısını
fnZl	duruyoruz
fnZr	baktı
fnZrp	beklemek (lazımdır)
fnb*nh	onu attık
fnb*nhm	ve attık
fnb*thA	ve onu attım
fnb*wh	fakat onlar (verdikleri sözü) attılar
fnfEhA	kendine yarar sağlayan
fnfxnA	ve üflemiştik
fnjEl	atalım (kılalım)
fnjY	ve kurtarıldı
fnjynh	biz de onu kurtardık
fnjynk	seni kurtarmıştık
fnkwn	ve olsak
fnnb}hm	ve kendilerine haber veririz
fnnb}km	ve size bildiririz
fnqbwA	gezip dolaşmışlardı
fnrdhA	döndürmemizden
fnsY	fakat unuttu
fnswA	ama unuttular
fnsyhm	O da onları unuttu
fnsythA	sen onları unuttuysan
fntbE	uysaydık
fntbr>	uzak dursaydık
fnxrj	ve bitiriyoruz
fnzl	bir ziyafet
fq*fnhA	onları attık
fqAl	dedi
fqAlt	dedi ki
fqAlwA	dediler
fqDY	işini bitirdi
fqDYhn	böylece onları yaptı
fqEwA	hemen kapanın
fqTE	böylece kesildi
fqbDt	sonra aldım
fqdmwA	verin
fqdr	ve daraltsa
fqdrh	ve takdir etmiştir ona
fqdrnA	ve biçimlendirdik
fql	de ki
fqlnA	demiştik
fqlt	dedim ki
fqlylA	artık çok az
fqnA	bizi koru
fqr>h	onu okusaydı
fqrA'	yoksul
fqrbh	onu yaklaştırdı
fqst	ve katılaşan
fqtl	kahrolası
fqtlA	savaşın
fqtlh	ve onu öldürdü
fqtlwA	savaşın
fqwlA	deyin ki
fqwlY	de ki
fqwlwA	deyin
fqyr	fakirdir
fqyrA	yoksul
fr$	yataklar
fr$A	döşek
fr$nhA	biz döşedik
fr'Ah	onu gördü
fr>wh	ve (ekini) görseler
frAg	gizlice gitti
frAq	ayrılmasıdır
frArA	kaçardın
frAt	susuzluğu keser
frD	gerekli kılan
frDnA	gerekli kıldığımız
frDtm	tesbit ettiğiniz
frEwn	Fir'avn
frH	sevinir
frHwA	sevinirler
frHyn	sevinirler
frTnA	kusurlarımızdan
frTt	kusur edişimden
frTtm	kusurunuz
frbkm	Rabbiniz
frdA	tek başıma
frdY	tek olarak
frddnh	böylece onu geri verdik
frdwA	fakat koydular
frdwh	onu götürün
frgA	bomboştu
frgt	boşaldığın (işin bitince)
frhn	rehinler (yeter)
frjAlA	yaya
frjE	bunun üzerine döndü
frjEnk	böylece seni geri verdik
frjEwA	döndüler
frjhA	ırzını
frjl	(o zaman) bir erkek
frq	bölüm
frqAnA	iyi ile kötüyü ayırdedici bir anlayış
frqnA	yarmıştık
frqnh	parçalara ayırdık
frqp	kabileden
frqt	ayrılık çıkardın
frqwA	parçaladılar
frrtm	kaçıyorsanız
frt	ürkmüş
frv	fışkı
frwH	(O'na) rahatlık (vardır)
frwjhm	ırzlarını
frwjhn	ırzlarını
fryDp	mehir(lerini)
fryq	bir grup
fryqA	gruba
fryqAn	iki bölük olmuşlardı
fs>ktbhA	onu yazacağım
fsA'	ne kötü
fsAd	bozgunculuğa karşı
fsAdA	bozguncuğu
fsAhm	kur'a çekti
fsAlt	çağlayıp aktı
fsHqA	uzak olsun
fs_l	sor
fs_lh	ve ona sor
fs_lwA	sorun
fs_lwhm	onlara sorun
fs_lwhn	isteyin
fsbH	tesbih et
fsbHh	O'nu tesbih et
fsbHn	yücedir
fsjd	secde ettiler
fsjdwA	secde ettiler
fslkh	sonra onu geçirdi
fslm	selam
fslmwA	selam verin
fsnysrh	ona kolaylaştırırız
fsq	fısktır
fsqA	bir fısk
fsqY	(Musa) hemen suladı
fsqnh	böylece onu süreriz
fsqwA	yoldan çıkanların
fst*krwn	yakında hatırlayacaksınız
fstElmwn	bileceksiniz
fstbSr	göreceksin
fstrDE	o zaman emzirecektir
fswYhn	onları düzenledi
fswYk	seni düzenledi
fswq	kötülük olur
fsxrnA	biz boyun eğdirdik
fsy&tyh	ona verecektir
